Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.281590082,1,0,0,0,0,0,0
6.282053164,0,0,0,0,0,0,0
6.282054140,1,0,0,0,0,0,0
6.282055120,0,0,0,0,0,0,0
6.282056096,1,0,0,0,0,0,0
6.282057072,0,0,0,0,0,0,0
6.282059024,1,0,0,0,0,0,0
6.282060000,0,0,0,0,0,0,0
6.282060976,1,0,0,0,0,0,0
6.282061956,0,0,0,0,0,0,0
6.282069768,1,0,0,0,0,0,0
6.282070744,0,0,0,0,0,0,0
6.282073672,1,0,0,0,0,0,0
6.282074648,0,0,0,0,0,0,0
6.282076604,1,0,0,0,0,0,0
6.282078556,0,0,0,0,0,0,0
6.282079532,1,0,0,0,0,0,0
6.282081484,0,0,0,0,0,0,0
6.282083440,1,0,0,0,0,0,0
6.282086368,0,0,0,0,0,0,0
6.282087344,1,0,0,0,0,0,0
6.282088320,0,0,0,0,0,0,0
6.282090276,1,0,0,0,0,0,0
6.282091252,0,0,0,0,0,0,0
6.282093204,1,0,0,0,0,0,0
6.282105900,0,0,0,0,0,0,0
6.282106876,1,0,0,0,0,0,0
6.282107852,0,0,0,0,0,0,0
6.282108828,1,0,0,0,0,0,0
6.282109808,0,0,0,0,0,0,0
6.282110784,1,0,0,0,0,0,0
6.282112736,0,0,0,0,0,0,0
6.282114688,1,0,0,0,0,0,0
6.282116644,0,0,0,0,0,0,0
6.282121524,1,0,0,0,0,0,0
6.282124456,0,0,0,0,0,0,0
6.282125432,1,0,0,0,0,0,0
6.282126408,0,0,0,0,0,0,0
6.282128360,1,0,0,0,0,0,0
6.283053172,0,0,0,0,0,0,0
6.283054148,1,0,0,0,0,0,0
6.283055124,0,0,0,0,0,0,0
6.283056100,1,0,0,0,0,0,0
6.283057080,0,0,0,0,0,0,0
6.283059032,1,0,0,0,0,0,0
6.283060008,0,0,0,0,0,0,0
6.283060984,1,0,0,0,0,0,0
6.283061960,0,0,0,0,0,0,0
6.283069772,1,0,0,0,0,0,0
6.283070752,0,0,0,0,0,0,0
6.283071728,1,0,0,0,0,0,0
6.283075632,0,0,0,0,0,0,0
6.283076608,1,0,0,0,0,0,0
6.283081492,0,0,0,0,0,0,0
6.283083444,1,0,0,0,0,0,0
6.283086376,0,0,0,0,0,0,0
6.283087352,1,0,0,0,0,0,0
6.283088328,0,0,0,0,0,0,0
6.283090280,1,0,0,0,0,0,0
6.283091260,0,0,0,0,0,0,0
6.283093212,1,0,0,0,0,0,0
6.283105908,0,0,0,0,0,0,0
6.283106884,1,0,0,0,0,0,0
6.283107860,0,0,0,0,0,0,0
6.283112744,1,0,0,0,0,0,0
6.283113720,0,0,0,0,0,0,0
6.283114696,1,0,0,0,0,0,0
6.283116648,0,0,0,0,0,0,0
6.283121532,1,0,0,0,0,0,0
6.283123484,0,0,0,0,0,0,0
6.283126416,1,0,0,0,0,0,0
6.284053180,0,0,0,0,0,0,0
6.284054156,1,0,0,0,0,0,0
6.284055132,0,0,0,0,0,0,0
6.284056108,1,0,0,0,0,0,0
6.284057084,0,0,0,0,0,0,0
6.284059040,1,0,0,0,0,0,0
6.284060016,0,0,0,0,0,0,0
6.284060992,1,0,0,0,0,0,0
6.284061968,0,0,0,0,0,0,0
6.284069780,1,0,0,0,0,0,0
6.284070756,0,0,0,0,0,0,0
6.284072712,1,0,0,0,0,0,0
6.284073688,0,0,0,0,0,0,0
6.284074664,1,0,0,0,0,0,0
6.284078572,0,0,0,0,0,0,0
6.284081500,1,0,0,0,0,0,0
6.284082476,0,0,0,0,0,0,0
6.284083452,1,0,0,0,0,0,0
6.284086384,0,0,0,0,0,0,0
6.284087360,1,0,0,0,0,0,0
6.284088336,0,0,0,0,0,0,0
6.284090288,1,0,0,0,0,0,0
6.284091264,0,0,0,0,0,0,0
6.284093220,1,0,0,0,0,0,0
6.284105916,0,0,0,0,0,0,0
6.284106892,1,0,0,0,0,0,0
6.284107868,0,0,0,0,0,0,0
6.284109820,1,0,0,0,0,0,0
6.284110796,0,0,0,0,0,0,0
6.284112748,1,0,0,0,0,0,0
6.284113728,0,0,0,0,0,0,0
6.284114704,1,0,0,0,0,0,0
6.284116656,0,0,0,0,0,0,0
6.284121540,1,0,0,0,0,0,0
6.284125444,0,0,0,0,0,0,0
6.284126420,1,0,0,0,0,0,0
6.285053188,0,0,0,0,0,0,0
6.285054164,1,0,0,0,0,0,0
6.285055140,0,0,0,0,0,0,0
6.285056116,1,0,0,0,0,0,0
6.285057092,0,0,0,0,0,0,0
6.285059044,1,0,0,0,0,0,0
6.285060024,0,0,0,0,0,0,0
6.285061000,1,0,0,0,0,0,0
6.285061976,0,0,0,0,0,0,0
6.285069788,1,0,0,0,0,0,0
6.285070764,0,0,0,0,0,0,0
6.285071740,1,0,0,0,0,0,0
6.285072716,0,0,0,0,0,0,0
6.285073692,1,0,0,0,0,0,0
6.285074672,0,0,0,0,0,0,0
6.285079552,1,0,0,0,0,0,0
6.285080532,0,0,0,0,0,0,0
6.285081508,1,0,0,0,0,0,0
6.285082484,0,0,0,0,0,0,0
6.285083460,1,0,0,0,0,0,0
6.285086388,0,0,0,0,0,0,0
6.285087364,1,0,0,0,0,0,0
6.285088344,0,0,0,0,0,0,0
6.285090296,1,0,0,0,0,0,0
6.285091272,0,0,0,0,0,0,0
6.285093224,1,0,0,0,0,0,0
6.285105920,0,0,0,0,0,0,0
6.285107872,1,0,0,0,0,0,0
6.285108852,0,0,0,0,0,0,0
6.285110804,1,0,0,0,0,0,0
6.285111780,0,0,0,0,0,0,0
6.285112756,1,0,0,0,0,0,0
6.285113732,0,0,0,0,0,0,0
6.285114708,1,0,0,0,0,0,0
6.285116664,0,0,0,0,0,0,0
6.285121544,1,0,0,0,0,0,0
6.285126428,0,0,0,0,0,0,0
6.285127404,1,0,0,0,0,0,0
6.286053196,0,0,0,0,0,0,0
6.286054168,1,0,0,0,0,0,0
6.286055148,0,0,0,0,0,0,0
6.286056124,1,0,0,0,0,0,0
6.286057100,0,0,0,0,0,0,0
6.286059052,1,0,0,0,0,0,0
6.286060028,0,0,0,0,0,0,0
6.286061004,1,0,0,0,0,0,0
6.286061984,0,0,0,0,0,0,0
6.286069796,1,0,0,0,0,0,0
6.286070772,0,0,0,0,0,0,0
6.286071748,1,0,0,0,0,0,0
6.286072724,0,0,0,0,0,0,0
6.286075656,1,0,0,0,0,0,0
6.286076632,0,0,0,0,0,0,0
6.286078584,1,0,0,0,0,0,0
6.286080536,0,0,0,0,0,0,0
6.286081512,1,0,0,0,0,0,0
6.286082492,0,0,0,0,0,0,0
6.286083468,1,0,0,0,0,0,0
6.286086396,0,0,0,0,0,0,0
6.286087372,1,0,0,0,0,0,0
6.286088348,0,0,0,0,0,0,0
6.286090304,1,0,0,0,0,0,0
6.286091280,0,0,0,0,0,0,0
6.286093232,1,0,0,0,0,0,0
6.286105928,0,0,0,0,0,0,0
6.286106904,1,0,0,0,0,0,0
6.286108856,0,0,0,0,0,0,0
6.286109832,1,0,0,0,0,0,0
6.286111788,0,0,0,0,0,0,0
6.286112764,1,0,0,0,0,0,0
6.286113740,0,0,0,0,0,0,0
6.286114716,1,0,0,0,0,0,0
6.286116672,0,0,0,0,0,0,0
6.286121552,1,0,0,0,0,0,0
6.286124484,0,0,0,0,0,0,0
6.286125460,1,0,0,0,0,0,0
6.286126436,0,0,0,0,0,0,0
6.286127412,1,0,0,0,0,0,0
6.287053200,0,0,0,0,0,0,0
6.287054176,1,0,0,0,0,0,0
6.287055152,0,0,0,0,0,0,0
6.287056128,1,0,0,0,0,0,0
6.287057108,0,0,0,0,0,0,0
6.287059060,1,0,0,0,0,0,0
6.287060036,0,0,0,0,0,0,0
6.287061012,1,0,0,0,0,0,0
6.287061988,0,0,0,0,0,0,0
6.287069800,1,0,0,0,0,0,0
6.287070780,0,0,0,0,0,0,0
6.287073708,1,0,0,0,0,0,0
6.287076640,0,0,0,0,0,0,0
6.287080544,1,0,0,0,0,0,0
6.287082496,0,0,0,0,0,0,0
6.287083472,1,0,0,0,0,0,0
